date,sku,category,units_sold,unit_cost,is_promo_day,is_stockout_day
2022-02-23,CSD-COLA-500ML,Carbonated Soft Drinks,258,0.85,False,False
2022-02-24,CSD-COLA-500ML,Carbonated Soft Drinks,379,0.85,False,False
2022-02-25,CSD-COLA-500ML,Carbonated Soft Drinks,334,0.85,False,False
2022-02-26,CSD-COLA-500ML,Carbonated Soft Drinks,353,0.85,False,False
2022-02-27,CSD-COLA-500ML,Carbonated Soft Drinks,326,0.85,False,False
2022-02-28,CSD-COLA-500ML,Carbonated Soft Drinks,244,0.85,False,False
2022-03-01,CSD-COLA-500ML,Carbonated Soft Drinks,361,0.85,False,False
2022-03-02,CSD-COLA-500ML,Carbonated Soft Drinks,270,0.85,False,False
2022-03-03,CSD-COLA-500ML,Carbonated Soft Drinks,353,0.85,False,False
2022-03-04,CSD-COLA-500ML,Carbonated Soft Drinks,435,0.85,False,False
2022-03-05,CSD-COLA-500ML,Carbonated Soft Drinks,482,0.85,False,False
2022-03-06,CSD-COLA-500ML,Carbonated Soft Drinks,319,0.85,False,False
2022-03-07,CSD-COLA-500ML,Carbonated Soft Drinks,284,0.85,False,False
2022-03-08,CSD-COLA-500ML,Carbonated Soft Drinks,262,0.85,False,False
2022-03-09,CSD-COLA-500ML,Carbonated Soft Drinks,303,0.85,False,False
2022-03-10,CSD-COLA-500ML,Carbonated Soft Drinks,349,0.85,False,False
2022-03-11,CSD-COLA-500ML,Carbonated Soft Drinks,442,0.85,False,False
2022-03-12,CSD-COLA-500ML,Carbonated Soft Drinks,434,0.85,False,False
2022-03-13,CSD-COLA-500ML,Carbonated Soft Drinks,238,0.85,False,False
2022-03-14,CSD-COLA-500ML,Carbonated Soft Drinks,380,0.85,False,False
2022-03-15,CSD-COLA-500ML,Carbonated Soft Drinks,279,0.85,False,False
2022-03-16,CSD-COLA-500ML,Carbonated Soft Drinks,313,0.85,False,False
2022-03-17,CSD-COLA-500ML,Carbonated Soft Drinks,423,0.85,False,False
2022-03-18,CSD-COLA-500ML,Carbonated Soft Drinks,469,0.85,False,False
2022-03-19,CSD-COLA-500ML,Carbonated Soft Drinks,441,0.85,False,False
2022-03-20,CSD-COLA-500ML,Carbonated Soft Drinks,292,0.85,False,False
2022-03-21,CSD-COLA-500ML,Carbonated Soft Drinks,238,0.85,False,False
2022-03-22,CSD-COLA-500ML,Carbonated Soft Drinks,295,0.85,False,False
2022-03-23,CSD-COLA-500ML,Carbonated Soft Drinks,328,0.85,False,False
2022-03-24,CSD-COLA-500ML,Carbonated Soft Drinks,0,0.85,False,True
2022-03-25,CSD-COLA-500ML,Carbonated Soft Drinks,408,0.85,False,False
2022-03-26,CSD-COLA-500ML,Carbonated Soft Drinks,468,0.85,False,False
2022-03-27,CSD-COLA-500ML,Carbonated Soft Drinks,328,0.85,False,False
2022-03-28,CSD-COLA-500ML,Carbonated Soft Drinks,307,0.85,False,False
2022-03-29,CSD-COLA-500ML,Carbonated Soft Drinks,286,0.85,False,False
2022-03-30,CSD-COLA-500ML,Carbonated Soft Drinks,342,0.85,False,False
2022-03-31,CSD-COLA-500ML,Carbonated Soft Drinks,407,0.85,False,False
2022-04-01,CSD-COLA-500ML,Carbonated Soft Drinks,506,0.85,False,False
2022-04-02,CSD-COLA-500ML,Carbonated Soft Drinks,527,0.85,False,False
2022-04-03,CSD-COLA-500ML,Carbonated Soft Drinks,439,0.85,True,False
2022-04-04,CSD-COLA-500ML,Carbonated Soft Drinks,428,0.85,False,False
2022-04-05,CSD-COLA-500ML,Carbonated Soft Drinks,402,0.85,False,False
2022-04-06,CSD-COLA-500ML,Carbonated Soft Drinks,765,0.85,True,False
2022-04-07,CSD-COLA-500ML,Carbonated Soft Drinks,363,0.85,False,False
2022-04-08,CSD-COLA-500ML,Carbonated Soft Drinks,562,0.85,False,False
2022-04-09,CSD-COLA-500ML,Carbonated Soft Drinks,597,0.85,False,False
2022-04-10,CSD-COLA-500ML,Carbonated Soft Drinks,364,0.85,False,False
2022-04-11,CSD-COLA-500ML,Carbonated Soft Drinks,356,0.85,False,False
2022-04-12,CSD-COLA-500ML,Carbonated Soft Drinks,509,0.85,True,False
2022-04-13,CSD-COLA-500ML,Carbonated Soft Drinks,393,0.85,False,False
2022-04-14,CSD-COLA-500ML,Carbonated Soft Drinks,511,0.85,False,False
2022-04-15,CSD-COLA-500ML,Carbonated Soft Drinks,619,0.85,False,False
2022-04-16,CSD-COLA-500ML,Carbonated Soft Drinks,600,0.85,False,False
2022-04-17,CSD-COLA-500ML,Carbonated Soft Drinks,427,0.85,False,False
2022-04-18,CSD-COLA-500ML,Carbonated Soft Drinks,326,0.85,False,False
2022-04-19,CSD-COLA-500ML,Carbonated Soft Drinks,411,0.85,False,False
2022-04-20,CSD-COLA-500ML,Carbonated Soft Drinks,346,0.85,False,False
2022-04-21,CSD-COLA-500ML,Carbonated Soft Drinks,492,0.85,False,False
2022-04-22,CSD-COLA-500ML,Carbonated Soft Drinks,574,0.85,False,False
2022-04-23,CSD-COLA-500ML,Carbonated Soft Drinks,454,0.85,False,False
2022-04-24,CSD-COLA-500ML,Carbonated Soft Drinks,422,0.85,False,False
2022-04-25,CSD-COLA-500ML,Carbonated Soft Drinks,382,0.85,False,False
2022-04-26,CSD-COLA-500ML,Carbonated Soft Drinks,348,0.85,False,False
2022-04-27,CSD-COLA-500ML,Carbonated Soft Drinks,472,0.85,False,False
2022-04-28,CSD-COLA-500ML,Carbonated Soft Drinks,533,0.85,False,False
2022-04-29,CSD-COLA-500ML,Carbonated Soft Drinks,441,0.85,False,False
2022-04-30,CSD-COLA-500ML,Carbonated Soft Drinks,585,0.85,False,False
2022-05-01,CSD-COLA-500ML,Carbonated Soft Drinks,419,0.85,False,False
2022-05-02,CSD-COLA-500ML,Carbonated Soft Drinks,445,0.85,False,False
2022-05-03,CSD-COLA-500ML,Carbonated Soft Drinks,414,0.85,False,False
2022-05-04,CSD-COLA-500ML,Carbonated Soft Drinks,450,0.85,False,False
2022-05-05,CSD-COLA-500ML,Carbonated Soft Drinks,539,0.85,False,False
2022-05-06,CSD-COLA-500ML,Carbonated Soft Drinks,650,0.85,False,False
2022-05-07,CSD-COLA-500ML,Carbonated Soft Drinks,674,0.85,False,False
2022-05-08,CSD-COLA-500ML,Carbonated Soft Drinks,443,0.85,False,False
2022-05-09,CSD-COLA-500ML,Carbonated Soft Drinks,501,0.85,False,False
2022-05-10,CSD-COLA-500ML,Carbonated Soft Drinks,437,0.85,False,False
2022-05-11,CSD-COLA-500ML,Carbonated Soft Drinks,502,0.85,False,False
2022-05-12,CSD-COLA-500ML,Carbonated Soft Drinks,484,0.85,False,False
2022-05-13,CSD-COLA-500ML,Carbonated Soft Drinks,533,0.85,False,False
2022-05-14,CSD-COLA-500ML,Carbonated Soft Drinks,557,0.85,False,False
2022-05-15,CSD-COLA-500ML,Carbonated Soft Drinks,427,0.85,False,False
2022-05-16,CSD-COLA-500ML,Carbonated Soft Drinks,443,0.85,False,False
2022-05-17,CSD-COLA-500ML,Carbonated Soft Drinks,436,0.85,False,False
2022-05-18,CSD-COLA-500ML,Carbonated Soft Drinks,574,0.85,False,False
2022-05-19,CSD-COLA-500ML,Carbonated Soft Drinks,845,0.85,True,False
2022-05-20,CSD-COLA-500ML,Carbonated Soft Drinks,550,0.85,False,False
2022-05-21,CSD-COLA-500ML,Carbonated Soft Drinks,671,0.85,False,False
2022-05-22,CSD-COLA-500ML,Carbonated Soft Drinks,0,0.85,False,True
2022-05-23,CSD-COLA-500ML,Carbonated Soft Drinks,509,0.85,False,False
2022-05-24,CSD-COLA-500ML,Carbonated Soft Drinks,388,0.85,False,False
2022-05-25,CSD-COLA-500ML,Carbonated Soft Drinks,525,0.85,False,False
2022-05-26,CSD-COLA-500ML,Carbonated Soft Drinks,417,0.85,False,False
2022-05-27,CSD-COLA-500ML,Carbonated Soft Drinks,636,0.85,False,False
2022-05-28,CSD-COLA-500ML,Carbonated Soft Drinks,614,0.85,False,False
2022-05-29,CSD-COLA-500ML,Carbonated Soft Drinks,406,0.85,False,False
2022-05-30,CSD-COLA-500ML,Carbonated Soft Drinks,482,0.85,False,False
2022-05-31,CSD-COLA-500ML,Carbonated Soft Drinks,392,0.85,False,False
2022-06-01,CSD-COLA-500ML,Carbonated Soft Drinks,543,0.85,False,False
2022-06-02,CSD-COLA-500ML,Carbonated Soft Drinks,592,0.85,False,False
2022-06-03,CSD-COLA-500ML,Carbonated Soft Drinks,554,0.85,False,False
2022-06-04,CSD-COLA-500ML,Carbonated Soft Drinks,742,0.85,False,False
2022-06-05,CSD-COLA-500ML,Carbonated Soft Drinks,428,0.85,False,False
2022-06-06,CSD-COLA-500ML,Carbonated Soft Drinks,508,0.85,False,False
2022-06-07,CSD-COLA-500ML,Carbonated Soft Drinks,494,0.85,False,False
2022-06-08,CSD-COLA-500ML,Carbonated Soft Drinks,593,0.85,False,False
2022-06-09,CSD-COLA-500ML,Carbonated Soft Drinks,652,0.85,False,False
2022-06-10,CSD-COLA-500ML,Carbonated Soft Drinks,651,0.85,False,False
2022-06-11,CSD-COLA-500ML,Carbonated Soft Drinks,598,0.85,False,False
2022-06-12,CSD-COLA-500ML,Carbonated Soft Drinks,433,0.85,False,False
2022-06-13,CSD-COLA-500ML,Carbonated Soft Drinks,484,0.85,False,False
2022-06-14,CSD-COLA-500ML,Carbonated Soft Drinks,524,0.85,False,False
2022-06-15,CSD-COLA-500ML,Carbonated Soft Drinks,477,0.85,False,False
2022-06-16,CSD-COLA-500ML,Carbonated Soft Drinks,536,0.85,False,False
2022-06-17,CSD-COLA-500ML,Carbonated Soft Drinks,688,0.85,False,False
2022-06-18,CSD-COLA-500ML,Carbonated Soft Drinks,626,0.85,False,False
2022-06-19,CSD-COLA-500ML,Carbonated Soft Drinks,525,0.85,False,False
2022-06-20,CSD-COLA-500ML,Carbonated Soft Drinks,483,0.85,False,False
2022-06-21,CSD-COLA-500ML,Carbonated Soft Drinks,447,0.85,False,False
2022-06-22,CSD-COLA-500ML,Carbonated Soft Drinks,512,0.85,False,False
2022-06-23,CSD-COLA-500ML,Carbonated Soft Drinks,659,0.85,False,False
2022-06-24,CSD-COLA-500ML,Carbonated Soft Drinks,653,0.85,False,False
2022-06-25,CSD-COLA-500ML,Carbonated Soft Drinks,518,0.85,False,False
2022-06-26,CSD-COLA-500ML,Carbonated Soft Drinks,503,0.85,False,False
2022-06-27,CSD-COLA-500ML,Carbonated Soft Drinks,486,0.85,False,False
2022-06-28,CSD-COLA-500ML,Carbonated Soft Drinks,488,0.85,False,False
2022-06-29,CSD-COLA-500ML,Carbonated Soft Drinks,526,0.85,False,False
2022-06-30,CSD-COLA-500ML,Carbonated Soft Drinks,615,0.85,False,False
2022-07-01,CSD-COLA-500ML,Carbonated Soft Drinks,654,0.85,False,False
2022-07-02,CSD-COLA-500ML,Carbonated Soft Drinks,844,0.85,False,False
2022-07-03,CSD-COLA-500ML,Carbonated Soft Drinks,468,0.85,False,False
2022-07-04,CSD-COLA-500ML,Carbonated Soft Drinks,437,0.85,False,False
2022-07-05,CSD-COLA-500ML,Carbonated Soft Drinks,432,0.85,False,False
2022-07-06,CSD-COLA-500ML,Carbonated Soft Drinks,562,0.85,False,False
2022-07-07,CSD-COLA-500ML,Carbonated Soft Drinks,683,0.85,False,False
2022-07-08,CSD-COLA-500ML,Carbonated Soft Drinks,669,0.85,False,False
2022-07-09,CSD-COLA-500ML,Carbonated Soft Drinks,749,0.85,False,False
2022-07-10,CSD-COLA-500ML,Carbonated Soft Drinks,485,0.85,False,False
2022-07-11,CSD-COLA-500ML,Carbonated Soft Drinks,504,0.85,False,False
2022-07-12,CSD-COLA-500ML,Carbonated Soft Drinks,539,0.85,False,False
2022-07-13,CSD-COLA-500ML,Carbonated Soft Drinks,606,0.85,False,False
2022-07-14,CSD-COLA-500ML,Carbonated Soft Drinks,545,0.85,False,False
2022-07-15,CSD-COLA-500ML,Carbonated Soft Drinks,844,0.85,False,False
2022-07-16,CSD-COLA-500ML,Carbonated Soft Drinks,687,0.85,False,False
2022-07-17,CSD-COLA-500ML,Carbonated Soft Drinks,566,0.85,False,False
2022-07-18,CSD-COLA-500ML,Carbonated Soft Drinks,784,0.85,True,False
2022-07-19,CSD-COLA-500ML,Carbonated Soft Drinks,596,0.85,False,False
2022-07-20,CSD-COLA-500ML,Carbonated Soft Drinks,567,0.85,False,False
2022-07-21,CSD-COLA-500ML,Carbonated Soft Drinks,471,0.85,False,False
2022-07-22,CSD-COLA-500ML,Carbonated Soft Drinks,502,0.85,False,False
2022-07-23,CSD-COLA-500ML,Carbonated Soft Drinks,676,0.85,False,False
2022-07-24,CSD-COLA-500ML,Carbonated Soft Drinks,445,0.85,False,False
2022-07-25,CSD-COLA-500ML,Carbonated Soft Drinks,461,0.85,False,False
2022-07-26,CSD-COLA-500ML,Carbonated Soft Drinks,0,0.85,False,True
2022-07-27,CSD-COLA-500ML,Carbonated Soft Drinks,623,0.85,False,False
2022-07-28,CSD-COLA-500ML,Carbonated Soft Drinks,620,0.85,False,False
2022-07-29,CSD-COLA-500ML,Carbonated Soft Drinks,758,0.85,False,False
2022-07-30,CSD-COLA-500ML,Carbonated Soft Drinks,684,0.85,False,False
2022-07-31,CSD-COLA-500ML,Carbonated Soft Drinks,443,0.85,False,False
2022-08-01,CSD-COLA-500ML,Carbonated Soft Drinks,565,0.85,False,False
2022-08-02,CSD-COLA-500ML,Carbonated Soft Drinks,462,0.85,False,False
2022-08-03,CSD-COLA-500ML,Carbonated Soft Drinks,535,0.85,False,False
2022-08-04,CSD-COLA-500ML,Carbonated Soft Drinks,596,0.85,False,False
2022-08-05,CSD-COLA-500ML,Carbonated Soft Drinks,861,0.85,True,False
2022-08-06,CSD-COLA-500ML,Carbonated Soft Drinks,647,0.85,False,False
2022-08-07,CSD-COLA-500ML,Carbonated Soft Drinks,530,0.85,False,False
2022-08-08,CSD-COLA-500ML,Carbonated Soft Drinks,520,0.85,False,False
2022-08-09,CSD-COLA-500ML,Carbonated Soft Drinks,483,0.85,False,False
2022-08-10,CSD-COLA-500ML,Carbonated Soft Drinks,615,0.85,False,False
2022-08-11,CSD-COLA-500ML,Carbonated Soft Drinks,684,0.85,False,False
2022-08-12,CSD-COLA-500ML,Carbonated Soft Drinks,738,0.85,False,False
2022-08-13,CSD-COLA-500ML,Carbonated Soft Drinks,738,0.85,False,False
2022-08-14,CSD-COLA-500ML,Carbonated Soft Drinks,545,0.85,False,False
2022-08-15,CSD-COLA-500ML,Carbonated Soft Drinks,541,0.85,False,False
2022-08-16,CSD-COLA-500ML,Carbonated Soft Drinks,428,0.85,False,False
2022-08-17,CSD-COLA-500ML,Carbonated Soft Drinks,447,0.85,False,False
2022-08-18,CSD-COLA-500ML,Carbonated Soft Drinks,618,0.85,False,False
2022-08-19,CSD-COLA-500ML,Carbonated Soft Drinks,603,0.85,False,False
2022-08-20,CSD-COLA-500ML,Carbonated Soft Drinks,726,0.85,False,False
2022-08-21,CSD-COLA-500ML,Carbonated Soft Drinks,484,0.85,False,False
2022-08-22,CSD-COLA-500ML,Carbonated Soft Drinks,541,0.85,False,False
2022-08-23,CSD-COLA-500ML,Carbonated Soft Drinks,445,0.85,False,False
2022-08-24,CSD-COLA-500ML,Carbonated Soft Drinks,607,0.85,False,False
2022-08-25,CSD-COLA-500ML,Carbonated Soft Drinks,540,0.85,False,False
2022-08-26,CSD-COLA-500ML,Carbonated Soft Drinks,683,0.85,False,False
2022-08-27,CSD-COLA-500ML,Carbonated Soft Drinks,611,0.85,False,False
2022-08-28,CSD-COLA-500ML,Carbonated Soft Drinks,478,0.85,False,False
2022-08-29,CSD-COLA-500ML,Carbonated Soft Drinks,437,0.85,False,False
2022-08-30,CSD-COLA-500ML,Carbonated Soft Drinks,446,0.85,False,False
2022-08-31,CSD-COLA-500ML,Carbonated Soft Drinks,534,0.85,False,False
2022-09-01,CSD-COLA-500ML,Carbonated Soft Drinks,632,0.85,False,False
2022-09-02,CSD-COLA-500ML,Carbonated Soft Drinks,652,0.85,False,False
2022-09-03,CSD-COLA-500ML,Carbonated Soft Drinks,597,0.85,False,False
2022-09-04,CSD-COLA-500ML,Carbonated Soft Drinks,509,0.85,False,False
2022-09-05,CSD-COLA-500ML,Carbonated Soft Drinks,533,0.85,False,False
2022-09-06,CSD-COLA-500ML,Carbonated Soft Drinks,0,0.85,False,True
2022-09-07,CSD-COLA-500ML,Carbonated Soft Drinks,954,0.85,True,False
2022-09-08,CSD-COLA-500ML,Carbonated Soft Drinks,535,0.85,False,False
2022-09-09,CSD-COLA-500ML,Carbonated Soft Drinks,600,0.85,False,False
2022-09-10,CSD-COLA-500ML,Carbonated Soft Drinks,649,0.85,False,False
2022-09-11,CSD-COLA-500ML,Carbonated Soft Drinks,446,0.85,False,False
2022-09-12,CSD-COLA-500ML,Carbonated Soft Drinks,490,0.85,False,False
2022-09-13,CSD-COLA-500ML,Carbonated Soft Drinks,464,0.85,False,False
2022-09-14,CSD-COLA-500ML,Carbonated Soft Drinks,447,0.85,False,False
2022-09-15,CSD-COLA-500ML,Carbonated Soft Drinks,505,0.85,False,False
2022-09-16,CSD-COLA-500ML,Carbonated Soft Drinks,591,0.85,False,False
2022-09-17,CSD-COLA-500ML,Carbonated Soft Drinks,570,0.85,False,False
2022-09-18,CSD-COLA-500ML,Carbonated Soft Drinks,490,0.85,False,False
2022-09-19,CSD-COLA-500ML,Carbonated Soft Drinks,399,0.85,False,False
2022-09-20,CSD-COLA-500ML,Carbonated Soft Drinks,421,0.85,False,False
2022-09-21,CSD-COLA-500ML,Carbonated Soft Drinks,541,0.85,False,False
2022-09-22,CSD-COLA-500ML,Carbonated Soft Drinks,571,0.85,False,False
2022-09-23,CSD-COLA-500ML,Carbonated Soft Drinks,634,0.85,False,False
2022-09-24,CSD-COLA-500ML,Carbonated Soft Drinks,551,0.85,False,False
2022-09-25,CSD-COLA-500ML,Carbonated Soft Drinks,373,0.85,False,False
2022-09-26,CSD-COLA-500ML,Carbonated Soft Drinks,427,0.85,False,False
2022-09-27,CSD-COLA-500ML,Carbonated Soft Drinks,441,0.85,False,False
2022-09-28,CSD-COLA-500ML,Carbonated Soft Drinks,555,0.85,False,False
2022-09-29,CSD-COLA-500ML,Carbonated Soft Drinks,493,0.85,False,False
2022-09-30,CSD-COLA-500ML,Carbonated Soft Drinks,599,0.85,False,False
2022-10-01,CSD-COLA-500ML,Carbonated Soft Drinks,542,0.85,False,False
2022-10-02,CSD-COLA-500ML,Carbonated Soft Drinks,418,0.85,False,False
2022-10-03,CSD-COLA-500ML,Carbonated Soft Drinks,430,0.85,False,False
2022-10-04,CSD-COLA-500ML,Carbonated Soft Drinks,332,0.85,False,False
2022-10-05,CSD-COLA-500ML,Carbonated Soft Drinks,485,0.85,False,False
2022-10-06,CSD-COLA-500ML,Carbonated Soft Drinks,493,0.85,False,False
2022-10-07,CSD-COLA-500ML,Carbonated Soft Drinks,525,0.85,False,False
2022-10-08,CSD-COLA-500ML,Carbonated Soft Drinks,421,0.85,False,False
2022-10-09,CSD-COLA-500ML,Carbonated Soft Drinks,293,0.85,False,False
2022-10-10,CSD-COLA-500ML,Carbonated Soft Drinks,385,0.85,False,False
2022-10-11,CSD-COLA-500ML,Carbonated Soft Drinks,383,0.85,False,False
2022-10-12,CSD-COLA-500ML,Carbonated Soft Drinks,388,0.85,False,False
2022-10-13,CSD-COLA-500ML,Carbonated Soft Drinks,403,0.85,False,False
2022-10-14,CSD-COLA-500ML,Carbonated Soft Drinks,531,0.85,False,False
2022-10-15,CSD-COLA-500ML,Carbonated Soft Drinks,516,0.85,False,False
2022-10-16,CSD-COLA-500ML,Carbonated Soft Drinks,353,0.85,False,False
2022-10-17,CSD-COLA-500ML,Carbonated Soft Drinks,387,0.85,False,False
2022-10-18,CSD-COLA-500ML,Carbonated Soft Drinks,394,0.85,False,False
2022-10-19,CSD-COLA-500ML,Carbonated Soft Drinks,470,0.85,False,False
2022-10-20,CSD-COLA-500ML,Carbonated Soft Drinks,445,0.85,False,False
2022-10-21,CSD-COLA-500ML,Carbonated Soft Drinks,550,0.85,False,False
2022-10-22,CSD-COLA-500ML,Carbonated Soft Drinks,622,0.85,False,False
2022-10-23,CSD-COLA-500ML,Carbonated Soft Drinks,413,0.85,False,False
2022-10-24,CSD-COLA-500ML,Carbonated Soft Drinks,424,0.85,False,False
2022-10-25,CSD-COLA-500ML,Carbonated Soft Drinks,425,0.85,False,False
2022-10-26,CSD-COLA-500ML,Carbonated Soft Drinks,399,0.85,False,False
2022-10-27,CSD-COLA-500ML,Carbonated Soft Drinks,501,0.85,False,False
2022-10-28,CSD-COLA-500ML,Carbonated Soft Drinks,533,0.85,False,False
2022-10-29,CSD-COLA-500ML,Carbonated Soft Drinks,434,0.85,False,False
2022-10-30,CSD-COLA-500ML,Carbonated Soft Drinks,363,0.85,False,False
2022-10-31,CSD-COLA-500ML,Carbonated Soft Drinks,429,0.85,False,False
2022-11-01,CSD-COLA-500ML,Carbonated Soft Drinks,334,0.85,False,False
2022-11-02,CSD-COLA-500ML,Carbonated Soft Drinks,340,0.85,False,False
2022-11-03,CSD-COLA-500ML,Carbonated Soft Drinks,387,0.85,False,False
2022-11-04,CSD-COLA-500ML,Carbonated Soft Drinks,442,0.85,False,False
2022-11-05,CSD-COLA-500ML,Carbonated Soft Drinks,472,0.85,False,False
2022-11-06,CSD-COLA-500ML,Carbonated Soft Drinks,319,0.85,False,False
2022-11-07,CSD-COLA-500ML,Carbonated Soft Drinks,355,0.85,False,False
2022-11-08,CSD-COLA-500ML,Carbonated Soft Drinks,324,0.85,False,False
2022-11-09,CSD-COLA-500ML,Carbonated Soft Drinks,331,0.85,False,False
2022-11-10,CSD-COLA-500ML,Carbonated Soft Drinks,477,0.85,False,False
2022-11-11,CSD-COLA-500ML,Carbonated Soft Drinks,423,0.85,False,False
2022-11-12,CSD-COLA-500ML,Carbonated Soft Drinks,449,0.85,False,False
2022-11-13,CSD-COLA-500ML,Carbonated Soft Drinks,319,0.85,False,False
2022-11-14,CSD-COLA-500ML,Carbonated Soft Drinks,318,0.85,False,False
2022-11-15,CSD-COLA-500ML,Carbonated Soft Drinks,339,0.85,False,False
2022-11-16,CSD-COLA-500ML,Carbonated Soft Drinks,294,0.85,False,False
2022-11-17,CSD-COLA-500ML,Carbonated Soft Drinks,448,0.85,False,False
2022-11-18,CSD-COLA-500ML,Carbonated Soft Drinks,445,0.85,False,False
2022-11-19,CSD-COLA-500ML,Carbonated Soft Drinks,440,0.85,False,False
2022-11-20,CSD-COLA-500ML,Carbonated Soft Drinks,274,0.85,False,False
2022-11-21,CSD-COLA-500ML,Carbonated Soft Drinks,344,0.85,False,False
2022-11-22,CSD-COLA-500ML,Carbonated Soft Drinks,331,0.85,False,False
2022-11-23,CSD-COLA-500ML,Carbonated Soft Drinks,298,0.85,False,False
2022-11-24,CSD-COLA-500ML,Carbonated Soft Drinks,418,0.85,False,False
2022-11-25,CSD-COLA-500ML,Carbonated Soft Drinks,407,0.85,False,False
2022-11-26,CSD-COLA-500ML,Carbonated Soft Drinks,413,0.85,False,False
2022-11-27,CSD-COLA-500ML,Carbonated Soft Drinks,284,0.85,False,False
