InvoiceNo,CustomerID,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Country,Archetype
500044,10002,2024-02-04,SKU-1008,Water Bottle,2,14.0,Netherlands,Champion
500045,10002,2024-02-18,SKU-1005,Throw Blanket,1,32.0,Netherlands,Champion
500045,10002,2024-02-18,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500045,10002,2024-02-18,SKU-1009,Photo Frame,3,10.0,Netherlands,Champion
500046,10002,2024-04-24,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500046,10002,2024-04-24,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500046,10002,2024-04-24,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500047,10002,2024-06-09,SKU-1006,Candle Trio,5,18.0,Netherlands,Champion
500048,10002,2024-06-14,SKU-1003,Notebook Set,4,12.5,Netherlands,Champion
500048,10002,2024-06-14,SKU-1008,Water Bottle,3,14.0,Netherlands,Champion
500048,10002,2024-06-14,SKU-1009,Photo Frame,5,10.0,Netherlands,Champion
500049,10002,2024-07-01,SKU-1008,Water Bottle,8,14.0,Netherlands,Champion
500050,10002,2024-07-09,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500050,10002,2024-07-09,SKU-1003,Notebook Set,3,12.5,Netherlands,Champion
500050,10002,2024-07-09,SKU-1004,Desk Lamp,1,24.0,Netherlands,Champion
500051,10002,2024-08-08,SKU-1003,Notebook Set,2,12.5,Netherlands,Champion
500051,10002,2024-08-08,SKU-1002,Tote Bag,3,9.0,Netherlands,Champion
500051,10002,2024-08-08,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500052,10002,2024-09-30,SKU-1010,Cushion Cover,4,15.5,Netherlands,Champion
500053,10002,2024-10-23,SKU-1002,Tote Bag,7,9.0,Netherlands,Champion
500053,10002,2024-10-23,SKU-1008,Water Bottle,4,14.0,Netherlands,Champion
500054,10002,2024-12-06,SKU-1002,Tote Bag,5,9.0,Netherlands,Champion
500054,10002,2024-12-06,SKU-1006,Candle Trio,2,18.0,Netherlands,Champion
500055,10002,2024-12-07,SKU-1004,Desk Lamp,2,24.0,Netherlands,Champion
500055,10002,2024-12-07,SKU-1002,Tote Bag,6,9.0,Netherlands,Champion
500056,10002,2024-12-30,SKU-1003,Notebook Set,2,12.5,Netherlands,Champion
500056,10002,2024-12-30,SKU-1007,Wireless Mouse,1,21.5,Netherlands,Champion
500056,10002,2024-12-30,SKU-1005,Throw Blanket,1,32.0,Netherlands,Champion
500057,10003,2023-01-03,SKU-1001,Ceramic Mug,3,6.5,United Kingdom,Champion
500057,10003,2023-01-03,SKU-1003,Notebook Set,2,12.5,United Kingdom,Champion
500058,10003,2023-02-15,SKU-1010,Cushion Cover,4,15.5,United Kingdom,Champion
500059,10003,2023-03-24,SKU-1003,Notebook Set,8,12.5,United Kingdom,Champion
500060,10003,2023-05-14,SKU-1002,Tote Bag,11,9.0,United Kingdom,Champion
500061,10003,2023-10-27,SKU-1001,Ceramic Mug,17,6.5,United Kingdom,Champion
500062,10003,2024-01-16,SKU-1006,Candle Trio,4,18.0,United Kingdom,Champion
500063,10003,2024-05-08,SKU-1007,Wireless Mouse,1,21.5,United Kingdom,Champion
500063,10003,2024-05-08,SKU-1009,Photo Frame,3,10.0,United Kingdom,Champion
500063,10003,2024-05-08,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500064,10003,2024-05-20,SKU-1003,Notebook Set,4,12.5,United Kingdom,Champion
500064,10003,2024-05-20,SKU-1002,Tote Bag,6,9.0,United Kingdom,Champion
500065,10003,2024-05-24,SKU-1001,Ceramic Mug,7,6.5,United Kingdom,Champion
500065,10003,2024-05-24,SKU-1003,Notebook Set,4,12.5,United Kingdom,Champion
500066,10003,2024-06-15,SKU-1010,Cushion Cover,3,15.5,United Kingdom,Champion
500066,10003,2024-06-15,SKU-1009,Photo Frame,5,10.0,United Kingdom,Champion
500066,10003,2024-06-15,SKU-1001,Ceramic Mug,7,6.5,United Kingdom,Champion
500067,10003,2024-06-19,SKU-1009,Photo Frame,7,10.0,United Kingdom,Champion
500068,10003,2024-06-23,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500069,10003,2024-07-10,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500069,10003,2024-07-10,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500070,10003,2024-08-06,SKU-1008,Water Bottle,5,14.0,United Kingdom,Champion
500070,10003,2024-08-06,SKU-1004,Desk Lamp,3,24.0,United Kingdom,Champion
500071,10003,2024-08-16,SKU-1008,Water Bottle,8,14.0,United Kingdom,Champion
500072,10003,2024-08-17,SKU-1006,Candle Trio,1,18.0,United Kingdom,Champion
500072,10003,2024-08-17,SKU-1006,Candle Trio,1,18.0,United Kingdom,Champion
500072,10003,2024-08-17,SKU-1004,Desk Lamp,1,24.0,United Kingdom,Champion
500073,10003,2024-09-04,SKU-1008,Water Bottle,4,14.0,United Kingdom,Champion
500073,10003,2024-09-04,SKU-1001,Ceramic Mug,8,6.5,United Kingdom,Champion
500074,10003,2024-09-30,SKU-1007,Wireless Mouse,5,21.5,United Kingdom,Champion
500075,10003,2024-10-09,SKU-1009,Photo Frame,4,10.0,United Kingdom,Champion
500075,10003,2024-10-09,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500075,10003,2024-10-09,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500076,10003,2024-10-13,SKU-1009,Photo Frame,11,10.0,United Kingdom,Champion
500077,10003,2024-10-26,SKU-1002,Tote Bag,14,9.0,United Kingdom,Champion
500078,10003,2024-10-28,SKU-1007,Wireless Mouse,1,21.5,United Kingdom,Champion
500078,10003,2024-10-28,SKU-1007,Wireless Mouse,1,21.5,United Kingdom,Champion
500079,10003,2024-10-30,SKU-1007,Wireless Mouse,4,21.5,United Kingdom,Champion
500080,10003,2024-12-29,SKU-1002,Tote Bag,3,9.0,United Kingdom,Champion
500080,10003,2024-12-29,SKU-1003,Notebook Set,2,12.5,United Kingdom,Champion
500080,10003,2024-12-29,SKU-1009,Photo Frame,3,10.0,United Kingdom,Champion
500081,10004,2023-03-12,SKU-1006,Candle Trio,5,18.0,United Kingdom,Champion
500082,10004,2023-04-04,SKU-1008,Water Bottle,8,14.0,United Kingdom,Champion
500083,10004,2023-05-15,SKU-1002,Tote Bag,4,9.0,United Kingdom,Champion
500083,10004,2023-05-15,SKU-1001,Ceramic Mug,5,6.5,United Kingdom,Champion
500084,10004,2023-05-31,SKU-1002,Tote Bag,4,9.0,United Kingdom,Champion
500084,10004,2023-05-31,SKU-1006,Candle Trio,2,18.0,United Kingdom,Champion
500084,10004,2023-05-31,SKU-1002,Tote Bag,4,9.0,United Kingdom,Champion
500085,10004,2023-07-27,SKU-1001,Ceramic Mug,4,6.5,United Kingdom,Champion
500085,10004,2023-07-27,SKU-1008,Water Bottle,2,14.0,United Kingdom,Champion
500086,10004,2023-08-03,SKU-1009,Photo Frame,2,10.0,United Kingdom,Champion
500086,10004,2023-08-03,SKU-1004,Desk Lamp,1,24.0,United Kingdom,Champion
500086,10004,2023-08-03,SKU-1008,Water Bottle,2,14.0,United Kingdom,Champion
500087,10004,2023-09-18,SKU-1009,Photo Frame,3,10.0,United Kingdom,Champion
500087,10004,2023-09-18,SKU-1002,Tote Bag,4,9.0,United Kingdom,Champion
500087,10004,2023-09-18,SKU-1001,Ceramic Mug,5,6.5,United Kingdom,Champion
500088,10004,2023-09-22,SKU-1009,Photo Frame,6,10.0,United Kingdom,Champion
500088,10004,2023-09-22,SKU-1004,Desk Lamp,3,24.0,United Kingdom,Champion
500089,10004,2023-09-24,SKU-1001,Ceramic Mug,9,6.5,United Kingdom,Champion
500089,10004,2023-09-24,SKU-1007,Wireless Mouse,3,21.5,United Kingdom,Champion
500090,10004,2024-01-03,SKU-1006,Candle Trio,2,18.0,United Kingdom,Champion
500090,10004,2024-01-03,SKU-1009,Photo Frame,4,10.0,United Kingdom,Champion
500090,10004,2024-01-03,SKU-1009,Photo Frame,4,10.0,United Kingdom,Champion
500091,10004,2024-01-14,SKU-1008,Water Bottle,2,14.0,United Kingdom,Champion
500091,10004,2024-01-14,SKU-1001,Ceramic Mug,4,6.5,United Kingdom,Champion
500091,10004,2024-01-14,SKU-1003,Notebook Set,2,12.5,United Kingdom,Champion
500092,10004,2024-02-19,SKU-1009,Photo Frame,6,10.0,United Kingdom,Champion
500092,10004,2024-02-19,SKU-1002,Tote Bag,6,9.0,United Kingdom,Champion
500093,10004,2024-02-22,SKU-1006,Candle Trio,1,18.0,United Kingdom,Champion
500093,10004,2024-02-22,SKU-1003,Notebook Set,2,12.5,United Kingdom,Champion
500093,10004,2024-02-22,SKU-1008,Water Bottle,2,14.0,United Kingdom,Champion
500094,10004,2024-04-05,SKU-1002,Tote Bag,7,9.0,United Kingdom,Champion
500094,10004,2024-04-05,SKU-1009,Photo Frame,6,10.0,United Kingdom,Champion
500095,10004,2024-04-09,SKU-1005,Throw Blanket,4,32.0,United Kingdom,Champion
500096,10004,2024-04-09,SKU-1005,Throw Blanket,2,32.0,United Kingdom,Champion
500096,10004,2024-04-09,SKU-1010,Cushion Cover,4,15.5,United Kingdom,Champion
500097,10004,2024-04-21,SKU-1009,Photo Frame,4,10.0,United Kingdom,Champion
500097,10004,2024-04-21,SKU-1001,Ceramic Mug,7,6.5,United Kingdom,Champion
500097,10004,2024-04-21,SKU-1008,Water Bottle,3,14.0,United Kingdom,Champion
500098,10004,2024-05-13,SKU-1007,Wireless Mouse,4,21.5,United Kingdom,Champion
500099,10004,2024-08-05,SKU-1008,Water Bottle,1,14.0,United Kingdom,Champion
500099,10004,2024-08-05,SKU-1006,Candle Trio,1,18.0,United Kingdom,Champion
500099,10004,2024-08-05,SKU-1008,Water Bottle,1,14.0,United Kingdom,Champion
500100,10004,2024-08-14,SKU-1005,Throw Blanket,4,32.0,United Kingdom,Champion
500101,10004,2024-12-02,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500101,10004,2024-12-02,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500102,10005,2023-01-15,SKU-1002,Tote Bag,3,9.0,Netherlands,Champion
500102,10005,2023-01-15,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500102,10005,2023-01-15,SKU-1008,Water Bottle,2,14.0,Netherlands,Champion
500103,10005,2023-01-23,SKU-1002,Tote Bag,15,9.0,Netherlands,Champion
500104,10005,2023-03-16,SKU-1009,Photo Frame,4,10.0,Netherlands,Champion
500104,10005,2023-03-16,SKU-1004,Desk Lamp,2,24.0,Netherlands,Champion
500104,10005,2023-03-16,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500105,10005,2023-10-02,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500105,10005,2023-10-02,SKU-1007,Wireless Mouse,1,21.5,Netherlands,Champion
500106,10005,2023-10-07,SKU-1002,Tote Bag,2,9.0,Netherlands,Champion
500106,10005,2023-10-07,SKU-1002,Tote Bag,2,9.0,Netherlands,Champion
500106,10005,2023-10-07,SKU-1006,Candle Trio,1,18.0,Netherlands,Champion
500107,10005,2023-11-08,SKU-1010,Cushion Cover,3,15.5,Netherlands,Champion
500107,10005,2023-11-08,SKU-1008,Water Bottle,3,14.0,Netherlands,Champion
500108,10005,2024-01-26,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500108,10005,2024-01-26,SKU-1008,Water Bottle,2,14.0,Netherlands,Champion
500109,10005,2024-01-30,SKU-1002,Tote Bag,13,9.0,Netherlands,Champion
500110,10005,2024-06-03,SKU-1002,Tote Bag,10,9.0,Netherlands,Champion
500111,10005,2024-07-08,SKU-1004,Desk Lamp,3,24.0,Netherlands,Champion
500112,10005,2024-08-21,SKU-1003,Notebook Set,9,12.5,Netherlands,Champion
500113,10005,2024-08-30,SKU-1010,Cushion Cover,1,15.5,Netherlands,Champion
500113,10005,2024-08-30,SKU-1010,Cushion Cover,1,15.5,Netherlands,Champion
500114,10005,2024-11-29,SKU-1010,Cushion Cover,8,15.5,Netherlands,Champion
500115,10005,2024-12-21,SKU-1004,Desk Lamp,3,24.0,Netherlands,Champion
500116,10006,2023-01-24,SKU-1010,Cushion Cover,3,15.5,Germany,Champion
500116,10006,2023-01-24,SKU-1004,Desk Lamp,2,24.0,Germany,Champion
500117,10006,2023-03-31,SKU-1009,Photo Frame,12,10.0,Germany,Champion
500118,10006,2023-04-01,SKU-1002,Tote Bag,6,9.0,Germany,Champion
500119,10006,2023-04-30,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500119,10006,2023-04-30,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500120,10006,2023-05-02,SKU-1007,Wireless Mouse,1,21.5,Germany,Champion
500120,10006,2023-05-02,SKU-1010,Cushion Cover,1,15.5,Germany,Champion
500120,10006,2023-05-02,SKU-1009,Photo Frame,2,10.0,Germany,Champion
500121,10006,2023-05-08,SKU-1005,Throw Blanket,3,32.0,Germany,Champion
500122,10006,2023-05-14,SKU-1008,Water Bottle,5,14.0,Germany,Champion
500122,10006,2023-05-14,SKU-1001,Ceramic Mug,10,6.5,Germany,Champion
500123,10006,2023-07-08,SKU-1006,Candle Trio,2,18.0,Germany,Champion
500123,10006,2023-07-08,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500124,10006,2023-07-12,SKU-1010,Cushion Cover,4,15.5,Germany,Champion
500125,10006,2023-07-24,SKU-1002,Tote Bag,7,9.0,Germany,Champion
500125,10006,2023-07-24,SKU-1008,Water Bottle,5,14.0,Germany,Champion
500126,10006,2023-11-04,SKU-1008,Water Bottle,3,14.0,Germany,Champion
500126,10006,2023-11-04,SKU-1009,Photo Frame,4,10.0,Germany,Champion
500126,10006,2023-11-04,SKU-1008,Water Bottle,3,14.0,Germany,Champion
500127,10006,2023-12-17,SKU-1007,Wireless Mouse,2,21.5,Germany,Champion
500127,10006,2023-12-17,SKU-1010,Cushion Cover,3,15.5,Germany,Champion
500127,10006,2023-12-17,SKU-1008,Water Bottle,3,14.0,Germany,Champion
500128,10006,2023-12-31,SKU-1002,Tote Bag,8,9.0,Germany,Champion
500129,10006,2024-01-08,SKU-1002,Tote Bag,4,9.0,Germany,Champion
500129,10006,2024-01-08,SKU-1004,Desk Lamp,2,24.0,Germany,Champion
500129,10006,2024-01-08,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500130,10006,2024-01-17,SKU-1004,Desk Lamp,1,24.0,Germany,Champion
500130,10006,2024-01-17,SKU-1009,Photo Frame,3,10.0,Germany,Champion
500130,10006,2024-01-17,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500131,10006,2024-02-16,SKU-1006,Candle Trio,3,18.0,Germany,Champion
500132,10006,2024-03-15,SKU-1010,Cushion Cover,3,15.5,Germany,Champion
500133,10006,2024-04-29,SKU-1009,Photo Frame,5,10.0,Germany,Champion
500133,10006,2024-04-29,SKU-1002,Tote Bag,5,9.0,Germany,Champion
500134,10006,2024-07-17,SKU-1005,Throw Blanket,4,32.0,Germany,Champion
500135,10006,2024-08-19,SKU-1009,Photo Frame,3,10.0,Germany,Champion
500135,10006,2024-08-19,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500135,10006,2024-08-19,SKU-1003,Notebook Set,3,12.5,Germany,Champion
500136,10006,2024-09-01,SKU-1001,Ceramic Mug,6,6.5,Germany,Champion
500136,10006,2024-09-01,SKU-1007,Wireless Mouse,2,21.5,Germany,Champion
500137,10006,2024-09-10,SKU-1004,Desk Lamp,2,24.0,Germany,Champion
500137,10006,2024-09-10,SKU-1005,Throw Blanket,1,32.0,Germany,Champion
500137,10006,2024-09-10,SKU-1007,Wireless Mouse,2,21.5,Germany,Champion
500138,10006,2024-09-14,SKU-1006,Candle Trio,3,18.0,Germany,Champion
500139,10006,2024-11-13,SKU-1001,Ceramic Mug,18,6.5,Germany,Champion
500140,10006,2024-12-15,SKU-1001,Ceramic Mug,6,6.5,Germany,Champion
500140,10006,2024-12-15,SKU-1007,Wireless Mouse,2,21.5,Germany,Champion
500140,10006,2024-12-15,SKU-1010,Cushion Cover,2,15.5,Germany,Champion
500141,10006,2024-12-25,SKU-1005,Throw Blanket,1,32.0,Germany,Champion
500141,10006,2024-12-25,SKU-1001,Ceramic Mug,7,6.5,Germany,Champion
500142,10007,2023-01-27,SKU-1002,Tote Bag,7,9.0,United Kingdom,Champion
500142,10007,2023-01-27,SKU-1008,Water Bottle,5,14.0,United Kingdom,Champion
500143,10007,2023-01-29,SKU-1010,Cushion Cover,4,15.5,United Kingdom,Champion
500143,10007,2023-01-29,SKU-1008,Water Bottle,4,14.0,United Kingdom,Champion
500144,10007,2023-02-19,SKU-1009,Photo Frame,5,10.0,United Kingdom,Champion
500144,10007,2023-02-19,SKU-1002,Tote Bag,5,9.0,United Kingdom,Champion
500145,10007,2023-02-22,SKU-1001,Ceramic Mug,8,6.5,United Kingdom,Champion
500145,10007,2023-02-22,SKU-1009,Photo Frame,5,10.0,United Kingdom,Champion
500146,10007,2023-03-02,SKU-1007,Wireless Mouse,3,21.5,United Kingdom,Champion
500146,10007,2023-03-02,SKU-1005,Throw Blanket,2,32.0,United Kingdom,Champion
500147,10007,2023-03-26,SKU-1003,Notebook Set,4,12.5,United Kingdom,Champion
500147,10007,2023-03-26,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500148,10007,2023-06-08,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500148,10007,2023-06-08,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500148,10007,2023-06-08,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500149,10007,2023-08-20,SKU-1006,Candle Trio,2,18.0,United Kingdom,Champion
500149,10007,2023-08-20,SKU-1001,Ceramic Mug,6,6.5,United Kingdom,Champion
500149,10007,2023-08-20,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500150,10007,2023-10-15,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500150,10007,2023-10-15,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500150,10007,2023-10-15,SKU-1009,Photo Frame,4,10.0,United Kingdom,Champion
500151,10007,2023-11-20,SKU-1005,Throw Blanket,1,32.0,United Kingdom,Champion
500151,10007,2023-11-20,SKU-1008,Water Bottle,3,14.0,United Kingdom,Champion
500151,10007,2023-11-20,SKU-1008,Water Bottle,3,14.0,United Kingdom,Champion
500152,10007,2024-01-09,SKU-1004,Desk Lamp,1,24.0,United Kingdom,Champion
500152,10007,2024-01-09,SKU-1009,Photo Frame,1,10.0,United Kingdom,Champion
500152,10007,2024-01-09,SKU-1009,Photo Frame,1,10.0,United Kingdom,Champion
500153,10007,2024-01-29,SKU-1006,Candle Trio,3,18.0,United Kingdom,Champion
500153,10007,2024-01-29,SKU-1009,Photo Frame,5,10.0,United Kingdom,Champion
500154,10007,2024-02-03,SKU-1003,Notebook Set,4,12.5,United Kingdom,Champion
500154,10007,2024-02-03,SKU-1006,Candle Trio,3,18.0,United Kingdom,Champion
500155,10007,2024-02-06,SKU-1002,Tote Bag,9,9.0,United Kingdom,Champion
500156,10007,2024-02-28,SKU-1003,Notebook Set,3,12.5,United Kingdom,Champion
500156,10007,2024-02-28,SKU-1003,Notebook Set,3,12.5,United Kingdom,Champion
500157,10007,2024-03-25,SKU-1006,Candle Trio,4,18.0,United Kingdom,Champion
500157,10007,2024-03-25,SKU-1004,Desk Lamp,3,24.0,United Kingdom,Champion
500158,10007,2024-03-26,SKU-1004,Desk Lamp,1,24.0,United Kingdom,Champion
500158,10007,2024-03-26,SKU-1003,Notebook Set,2,12.5,United Kingdom,Champion
500158,10007,2024-03-26,SKU-1006,Candle Trio,2,18.0,United Kingdom,Champion
500159,10007,2024-06-05,SKU-1009,Photo Frame,13,10.0,United Kingdom,Champion
500160,10007,2024-06-27,SKU-1003,Notebook Set,3,12.5,United Kingdom,Champion
500160,10007,2024-06-27,SKU-1004,Desk Lamp,2,24.0,United Kingdom,Champion
500161,10007,2024-07-18,SKU-1010,Cushion Cover,2,15.5,United Kingdom,Champion
500161,10007,2024-07-18,SKU-1007,Wireless Mouse,1,21.5,United Kingdom,Champion
500161,10007,2024-07-18,SKU-1002,Tote Bag,3,9.0,United Kingdom,Champion
